OBJECTID,JURSCODE,GEOID20,POPULATION_TOTAL,CHILD_POPULATION_TOTAL,CHILD_POV_TOTAL,CHILD_POV_PCT,SCHOOL_BND_INT_TOTAL,SCHOOL_BND_INT_CPG_TOTAL,NOTES,CALC_SUM,CALC_PCT,Shape__Area,Shape__Length
815,MONT,24031700608,5422,1205,0.0,0.0,13.0,,(+/-) 3.3,,,30811858.13437799,29159.865479840748
816,MONT,24031703402,4105,803,31.0,3.9,8.0,,(+/-) 5.5,,,1265632.44200334,4583.050989888274
817,MONT,24031701417,6459,1938,209.0,10.8,6.0,,(+/-) 10.6,,,2150259.53402858,7195.831126112262
818,MONT,24031700614,5635,1337,28.0,2.1,8.0,,(+/-) 2.5,,,2330319.951337285,7530.748427684041
819,MONT,24031700706,4312,1077,156.0,14.5,18.0,,(+/-) 12.1,,,3679274.946796345,9271.932266532092
820,MONT,24031700105,6969,1992,30.0,1.5,11.0,,(+/-) 2.6,,,6087031.33423822,10849.811725293059
821,MONT,24031701505,7884,1760,537.0,30.5,8.0,,(+/-) 16.9,,,3342374.182915435,8462.163599564785
822,MONT,24031701215,4892,638,53.0,8.3,7.0,,(+/-) 13,,,770634.510989545,5609.759234458395
823,MONT,24031701002,3907,655,0.0,0.0,15.0,,(+/-) 5.9,,,2720954.54869389,6913.80392387633
824,MONT,24031702502,1565,101,0.0,0.0,7.0,,(+/-) 31.5,,,383473.71200626,3914.7702884228693
825,MONT,24031702301,3627,929,170.0,18.3,9.0,1.0,(+/-) 15.7,,,578396.530104235,3355.9057047818496
826,MONT,24031703209,6218,1582,283.0,17.9,4.0,,(+/-) 14.9,,,1786614.108307365,6215.312232363427
827,MONT,24031701424,3617,967,74.0,7.7,5.0,,(+/-) 9.7,,,2206572.795663995,7162.625113924473
828,MONT,24031702603,2191,412,116.0,28.2,8.0,,(+/-) 22.2,,,111713.08338729,2006.165549503196
829,MONT,24031705501,2251,356,46.0,12.9,3.0,,(+/-) 19.6,,,496048.33216772,3510.9442811304734
830,MONT,24031701220,3579,802,10.0,1.2,13.0,,(+/-) 2.1,,,5900329.03933873,11231.870439170501
831,MONT,24031702401,2679,595,10.0,1.7,8.0,1.0,(+/-) 2.5,,,1011045.2836681,7756.185964544621
832,MONT,24031700819,6336,1383,0.0,0.0,8.0,,(+/-) 2.9,,,2231935.58980383,8008.792514555353
833,MONT,24031700611,5185,1307,50.0,3.8,14.0,,(+/-) 4,,,15977907.1957289,18909.690008609217
834,MONT,24031700101,4810,866,100.0,11.5,17.0,,(+/-) 10.4,,,29844220.082756005,30709.361844536317
835,MONT,24031702900,5502,1179,0.0,0.0,7.0,,(+/-) 3.3,,,2564830.49956876,7610.302417457989
836,MONT,24031700829,3482,771,28.0,3.6,13.0,1.0,(+/-) 5.5,,,3968073.83552969,9974.623564365485
837,MONT,24031700818,6282,1552,511.0,32.9,10.0,,(+/-) 18.8,,,2241688.22303954,8178.281581181351
838,MONT,24031701408,5401,1086,195.0,18.0,14.0,,(+/-) 15,,,26261082.59459885,28332.051373350907
839,MONT,24031700318,3660,1180,9.0,0.8,10.0,,(+/-) 1.2,,,11590770.05182377,16849.015300046434
840,MONT,24031700610,1942,444,7.0,1.6,11.0,,(+/-) 1.9,,,5353016.174334425,11434.652029649804
841,MONT,24031702503,3858,321,47.0,14.6,7.0,,(+/-) 20.2,,,408310.821131655,3077.791187587057
842,MONT,24031700730,5079,1145,278.0,24.3,11.0,,(+/-) 17.8,,,1786492.736830245,6161.354469109861
843,MONT,24031701201,6946,1352,59.0,4.4,15.0,1.0,(+/-) 5.6,,,2554912.115170595,9484.721136692347
844,MONT,24031701212,2692,543,0.0,0.0,13.0,,(+/-) 7.1,,,10413198.928445164,16970.25157365319
845,MONT,24031702800,5326,927,0.0,0.0,6.0,,(+/-) 4.2,,,1673456.60022235,6231.300855428938
846,MONT,24031701205,7319,1902,0.0,0.0,11.0,,(+/-) 2.1,,,6833351.5786239,11933.476620915922
847,MONT,24031702604,2867,198,114.0,57.6,11.0,,(+/-) 41.2,,,233967.964431635,3260.6243133508237
848,MONT,24031701423,5868,1560,301.0,19.3,7.0,,(+/-) 13.2,,,1065749.433685015,4150.200894368184
849,MONT,24031701219,4404,1008,142.0,14.1,13.0,,(+/-) 9.9,,,2252264.28926869,9796.010417020101
850,MONT,24031701202,2566,540,12.0,2.2,7.0,,(+/-) 2.7,,,1789117.736467415,6553.197375348569
851,MONT,24031701004,4921,1405,90.0,6.4,4.0,,(+/-) 7.2,,,3076254.37491736,7471.464509798999
852,MONT,24031703701,4317,1002,302.0,30.1,11.0,1.0,(+/-) 25.9,,,1190907.716367365,5158.260516883997
853,MONT,24031706005,4468,944,15.0,1.6,9.0,,(+/-) 2.5,,,10176105.54951686,15694.906141708798
854,MONT,24031700904,3858,579,87.0,15.0,7.0,,(+/-) 18.7,,,1133142.61037721,8278.076297376121
855,MONT,24031700713,5560,1551,479.0,30.9,9.0,,(+/-) 15.9,,,1526359.737075635,6534.230607410515
856,MONT,24031704404,5932,1749,0.0,0.0,10.0,,(+/-) 2.3,,,2659944.88432541,9981.22642521777
857,MONT,24031704300,4007,1364,74.0,5.4,11.0,,(+/-) 8.2,,,2078376.416385555,7447.846106652154
858,MONT,24031704806,4045,326,0.0,0.0,3.0,,(+/-) 11.6,,,407527.923236585,2750.486819362151
859,MONT,24031705100,5625,1422,0.0,0.0,8.0,,(+/-) 2.8,,,3422681.678087905,10891.178509296375
860,MONT,24031700310,6651,1365,203.0,14.9,6.0,,(+/-) 16.9,,,2191080.39761582,8991.442429479372
861,MONT,24031703221,5083,1107,44.0,4.0,9.0,,(+/-) 5.8,,,3293524.5892861,8471.578268835168
862,MONT,24031705000,4508,1013,20.0,2.0,9.0,,(+/-) 2.9,,,4568997.159241245,10216.16814168282
863,MONT,24031700905,4347,1400,116.0,8.3,6.0,,(+/-) 6.2,,,803269.61905154,3724.414204735531
864,MONT,24031700725,5867,1740,164.0,9.4,5.0,,(+/-) 12.2,,,736583.763277015,3603.980137310712
865,MONT,24031700208,2397,574,17.0,3.0,4.0,,(+/-) 4.2,,,13745668.751685316,19369.932583559115
866,MONT,24031700731,3948,882,359.0,40.7,7.0,1.0,(+/-) 33.8,,,1333455.39146358,4902.953588527086
867,MONT,24031700815,8256,1878,252.0,13.4,13.0,,(+/-) 10.6,,,2742332.16688194,7952.051679754643
868,MONT,24031700613,6468,1374,0.0,0.0,12.0,,(+/-) 2.9,,,12687023.68013471,19691.26016023058
869,MONT,24031700733,5132,991,116.0,11.7,9.0,,(+/-) 13.2,,,2656393.677616655,7538.839309439081
870,MONT,24031706013,2937,869,25.0,2.9,12.0,,(+/-) 3.7,,,4163223.915880055,11252.856404859955
871,MONT,24031703215,3396,789,72.0,9.1,6.0,,(+/-) 10,,,1408468.774980835,7173.42400675186
872,MONT,24031704600,5261,1385,15.0,1.1,10.0,,(+/-) 1.6,,,1898991.717934045,8201.968095342254
873,MONT,24031703100,4497,1142,69.0,6.0,13.0,,(+/-) 7.5,,,1811370.740330495,6949.998276366934
874,MONT,24031703902,8349,2297,393.0,17.1,9.0,,(+/-) 14.7,,,2174022.401241275,6651.843605814869
875,MONT,24031700210,8602,2828,85.0,3.0,14.0,,(+/-) 3.2,,,4615199.92395667,10971.920113238093
876,MONT,24031700810,5912,1039,119.0,11.5,12.0,,(+/-) 11.3,,,3579718.94035769,10937.936890319834
877,MONT,24031701702,2450,499,13.0,2.6,10.0,1.0,(+/-) 3.9,,,539655.77702029,4533.3113154123075
878,MONT,24031706008,5356,1131,86.0,7.6,9.0,,(+/-) 6.7,,,23253141.6821638,28103.948958390196
879,MONT,24031701222,3469,619,23.0,3.7,6.0,,(+/-) 6,,,1179532.246927305,4567.5742249061805
880,MONT,24031700828,2127,474,0.0,0.0,12.0,,(+/-) 8.7,,,1293988.63975566,5837.956121360736
881,MONT,24031700209,4777,658,0.0,0.0,15.0,,(+/-) 6,,,18878932.89130704,25233.345563175677
882,MONT,24031701221,4604,914,215.0,23.5,13.0,,(+/-) 12.6,,,2750085.97593098,6502.48848763606
883,MONT,24031705502,4232,893,0.0,0.0,10.0,,(+/-) 4.4,,,2648572.65539387,8545.073474983565
